age,sex,bmi,children,smoker,region,expenses
63,male,31.4,0,no,northeast,13974.46
55,female,29.7,2,no,southwest,11881.36
41,male,30.8,3,yes,northeast,39597.41
24,female,22.6,0,no,southwest,2457.5
25,male,35.6,0,no,northwest,2534.39
59,male,24.7,0,no,northeast,12323.94
18,female,30.3,0,no,northeast,2203.74
36,female,29.0,4,no,southeast,7243.81
51,male,42.9,2,yes,southeast,47462.89
34,female,23.6,0,no,northeast,4992.38
64,male,33.9,0,yes,southeast,46889.26
58,male,28.6,0,no,northwest,11735.88
46,male,26.6,1,no,southeast,7742.11
43,female,24.7,2,yes,northwest,21880.82
58,male,34.9,0,no,northeast,11944.59
59,male,37.1,1,no,southwest,12347.17
35,female,34.8,1,no,southwest,5246.05
28,male,36.4,1,yes,southwest,51194.56
20,male,33.3,0,no,southeast,1391.53
21,female,35.7,0,no,northwest,2404.73
32,female,44.2,0,no,southeast,3994.18
37,male,36.2,0,no,southeast,19214.71
36,male,31.5,0,no,southwest,4402.23
18,female,38.3,0,no,southeast,1631.82
57,female,23.2,0,no,northwest,11830.61
58,female,31.8,2,no,northeast,13607.37
33,female,36.3,3,no,northeast,6551.75
27,male,33.7,0,no,southeast,2498.41
35,male,30.5,1,no,southwest,4751.07
44,male,29.7,2,no,northeast,32108.66
51,male,37.0,0,no,southwest,8798.59
51,male,31.6,0,no,northwest,9174.14
25,male,26.8,3,no,southwest,3906.13
37,male,29.6,0,no,northwest,5028.15
38,female,34.8,2,no,southwest,6571.54
47,male,25.5,2,no,northeast,9225.26
30,female,27.9,0,no,northeast,4137.52
41,female,33.2,3,no,northeast,8538.29
36,male,28.9,3,no,northeast,6748.59
48,male,40.6,2,yes,northwest,45702.02
24,female,30.2,3,no,northwest,4618.08
53,male,41.5,0,no,southeast,9504.31
54,male,30.0,0,no,northwest,24476.48
41,male,34.2,2,no,northwest,7261.74
23,male,50.4,1,no,southeast,2438.06
41,female,32.2,1,no,southwest,6775.96
38,male,27.8,2,no,northwest,6455.86
18,male,31.7,0,yes,northeast,33732.69
22,female,24.3,0,no,southwest,2150.47
28,male,27.0,2,no,northeast,4435.09
35,female,31.0,1,no,southwest,5240.77
24,male,25.8,0,no,southwest,1972.95
26,male,30.9,2,no,northwest,3877.3
23,female,33.4,0,no,southwest,10795.94
55,female,30.5,0,no,southwest,10704.47
58,male,32.0,1,no,southeast,11946.63
21,male,29.0,0,no,northwest,1906.36
63,female,26.2,0,no,northwest,14256.19
18,female,27.3,3,yes,southeast,18223.45
58,female,29.0,0,no,southwest,11842.44
58,female,33.1,0,no,southwest,11848.14
39,female,34.1,3,no,southwest,7418.52
48,male,28.0,1,yes,southwest,23568.27
58,female,36.5,0,no,northwest,12235.84
63,male,30.8,0,no,southwest,13390.56
20,male,39.4,2,yes,southwest,38344.57
44,female,20.2,1,yes,northeast,19594.81
43,female,26.7,2,yes,southwest,22478.6
22,female,20.2,0,no,northwest,2527.82
23,female,28.3,0,yes,northwest,18033.97
48,female,22.8,0,no,southwest,8269.04
49,male,28.7,3,no,northwest,10264.44
54,male,33.6,1,no,northwest,10825.25
44,female,32.3,1,no,southeast,7633.72
25,male,29.7,3,yes,southwest,19933.46
48,male,34.3,3,no,southwest,9563.03
34,male,34.2,0,no,southeast,3935.18
51,female,36.7,2,no,northwest,10848.13
28,female,25.9,1,no,northwest,4133.64
59,female,32.1,3,no,southwest,14007.22
46,female,28.1,1,no,southeast,8233.1
26,female,29.5,1,no,southeast,3392.37
45,female,35.8,0,no,northwest,7731.86
40,female,36.2,0,no,southeast,5920.1
63,female,21.7,0,no,northeast,14449.85
19,female,29.8,0,no,southwest,1744.47
60,female,27.6,0,no,northeast,13217.09
35,female,34.2,1,no,southeast,5245.23
32,female,29.6,1,no,southeast,4562.84
27,male,18.9,3,no,northeast,4827.9
22,female,28.8,0,no,southeast,2156.75
50,female,27.8,3,no,southeast,19749.38
46,female,23.7,1,yes,northwest,21677.28
60,male,24.3,1,no,northwest,13112.6
61,female,31.2,0,no,northwest,13429.04
53,female,38.1,3,no,southeast,20463.0
54,male,30.8,1,yes,southeast,41999.52
49,female,23.8,3,yes,northeast,24106.91
58,male,25.2,0,no,northeast,11931.13
50,male,26.4,0,no,northwest,8827.21
38,female,19.5,2,no,northwest,6933.24
30,female,28.4,1,yes,southeast,19521.97
19,male,30.4,0,no,southwest,1256.3
20,male,22.0,1,no,southwest,1964.78
41,female,28.3,1,no,northwest,7153.55
18,female,32.1,2,no,southeast,2801.26
18,male,34.4,0,no,southeast,1137.47
56,male,20.0,0,yes,northeast,22412.65
49,female,31.9,5,no,southwest,11552.9
18,female,35.6,0,no,northeast,2211.13
20,female,37.0,5,no,southwest,4830.63
55,female,27.0,0,no,northwest,11082.58
64,female,36.0,0,no,southeast,14313.85
42,female,25.3,1,no,southwest,7045.5
33,male,35.8,2,no,southeast,4890.0
30,male,38.8,1,no,southeast,18963.17
54,male,21.0,2,no,southeast,11013.71
21,male,31.3,0,no,northwest,1909.53
20,male,29.7,0,no,northwest,1769.53
31,male,28.6,1,no,northwest,4243.59
34,female,38.0,3,no,southwest,6196.45
36,female,27.7,0,no,northeast,5469.01
56,female,28.3,0,no,northeast,11657.72
58,female,39.1,0,no,southeast,11856.41
27,female,36.1,0,yes,southeast,37133.9
44,male,21.9,3,no,northeast,8891.14
40,male,26.3,1,no,northwest,6389.38
38,female,28.0,3,no,southwest,7151.09
48,male,29.6,0,no,southwest,21232.18
33,male,35.2,0,no,northeast,12404.88
19,female,23.4,2,no,southwest,2913.57
52,female,33.3,2,no,southwest,10806.84
24,female,29.9,0,no,northwest,2850.68
19,male,27.3,2,no,northwest,22493.66
19,male,20.3,0,no,southwest,1242.26
43,male,20.1,2,yes,southeast,18767.74
37,female,23.4,2,no,northwest,6686.43
45,male,27.5,3,no,southwest,8615.3
21,female,39.5,0,no,southeast,2026.97
21,female,25.8,0,no,southwest,2007.95
32,male,27.8,1,no,northwest,4454.4
53,male,29.5,0,no,southeast,9487.64
18,male,37.3,0,no,southeast,1141.45
20,female,21.8,0,yes,southwest,20167.34
43,male,32.6,2,no,southwest,7441.5
62,male,39.9,0,no,southeast,12982.87
55,male,27.6,0,no,northwest,10594.5
46,male,39.4,1,no,northeast,8342.91
19,female,24.5,1,no,northwest,2709.11
56,male,36.1,3,no,southwest,12363.55
41,male,35.8,1,yes,southeast,40273.65
38,female,20.0,2,no,northeast,7133.9
22,female,39.8,0,no,northeast,2755.02
27,male,32.6,3,no,northeast,4846.92
29,female,24.6,2,no,southwest,4529.48
52,male,30.2,1,no,southwest,9724.53
49,male,28.7,1,no,southwest,8703.46
26,male,33.9,1,no,northwest,3292.53
27,female,30.6,1,no,northeast,16796.41
43,female,34.4,3,no,southwest,8522.0
40,male,30.9,4,no,northwest,8162.72
50,female,28.2,3,no,southeast,10702.64
63,male,39.8,3,no,southwest,15170.07
38,male,37.1,1,no,northeast,6079.67
51,male,27.7,1,no,northeast,9957.72
23,female,23.2,2,no,northwest,14426.07
56,female,39.8,0,no,southeast,11090.72
59,male,28.8,0,no,northwest,12129.61
24,male,23.7,0,no,northwest,2352.97
37,male,28.0,2,no,northwest,6203.9
32,female,17.8,2,yes,northwest,32734.19
19,male,20.4,0,no,northwest,1625.43
61,female,21.1,0,no,northwest,13415.04
52,male,36.7,0,no,southwest,9144.57
55,male,35.2,1,no,northeast,11394.07
19,male,29.1,0,yes,northwest,17352.68
20,male,31.1,2,no,southeast,2566.47
52,female,31.2,0,no,southwest,9625.92
30,female,43.1,2,no,southeast,4753.64
24,male,23.4,0,no,southwest,1969.61
39,female,41.8,0,no,southeast,5662.23
26,male,29.5,0,no,northeast,2897.32
47,male,36.1,1,yes,southeast,42211.14
44,female,27.6,0,no,northwest,7421.19
58,male,36.1,0,no,southeast,11363.28
64,female,33.0,0,no,northwest,14692.67
45,male,22.9,2,yes,northwest,21098.55
32,female,29.7,0,no,northwest,4357.04
22,male,31.7,0,no,northeast,2254.8
48,male,35.6,4,no,northeast,10736.87
30,male,23.0,2,yes,northwest,17361.77
60,female,24.5,0,no,southeast,12629.9
22,male,26.8,0,no,southeast,1665.0
24,male,32.7,0,yes,southwest,34472.84
38,male,28.3,1,no,southeast,5484.47
33,female,39.8,1,no,southeast,4795.66
39,female,32.5,1,no,southwest,6238.3
29,female,27.9,1,yes,southeast,19107.78
28,male,33.8,0,no,northwest,19673.34
33,female,33.5,0,yes,southwest,37079.37
40,female,33.0,3,no,southeast,7682.67
59,female,36.5,1,no,southeast,28287.9
40,female,28.7,3,no,northwest,8059.68
41,female,32.6,3,no,southwest,7954.52
44,female,36.5,0,no,northeast,12797.21
18,male,33.8,1,no,southeast,1725.55
42,male,34.1,0,no,southwest,5979.73
63,male,36.8,0,no,northeast,13981.85
57,female,28.7,0,no,southwest,11455.28
23,female,32.8,2,yes,southeast,36021.01
57,female,34.3,2,no,northeast,13224.06
18,female,28.2,0,no,northeast,2200.83
50,male,27.5,1,no,northeast,9617.66
18,female,29.2,0,no,northeast,7323.73
38,male,28.0,1,no,northeast,6067.13
18,female,26.3,0,no,northeast,2198.19
19,male,35.5,0,no,northwest,1646.43
39,male,42.7,0,no,northeast,5757.41
45,male,30.2,1,no,southwest,7441.05
52,female,44.7,3,no,southwest,11411.69
64,male,25.6,2,no,southwest,14988.43
54,female,32.3,1,no,northeast,11512.41
34,male,42.9,1,no,southwest,4536.26
57,male,34.0,0,no,northwest,11356.66
20,female,31.8,2,no,southeast,3056.39
20,female,33.0,0,no,southeast,1880.07
23,female,24.2,2,no,northeast,22395.74
19,male,35.4,0,no,southwest,1263.25
51,female,34.2,1,no,southwest,9872.7
24,male,40.2,0,yes,southeast,38126.25
20,male,35.3,1,no,southeast,27724.29
19,male,25.6,1,no,northwest,2221.56
18,male,16.0,0,no,northeast,1694.8
34,female,26.4,1,no,northwest,5385.34
29,female,20.2,2,no,northwest,4906.41
22,male,31.4,1,no,northwest,2643.27
43,male,26.0,0,no,northeast,6837.37
59,male,27.5,1,no,southwest,12333.83
54,male,34.2,2,yes,southeast,44260.75
20,female,22.4,0,yes,northwest,14711.74
20,male,35.6,3,yes,northwest,37465.34
41,female,33.0,0,no,northwest,6571.02
44,male,22.1,2,no,northeast,8302.54
19,male,30.6,0,no,northwest,1639.56
35,male,27.1,1,no,southwest,4746.34
51,male,24.8,2,yes,northwest,23967.38
55,male,32.8,0,no,northwest,10601.63
31,female,31.1,0,no,northeast,4347.02
41,female,31.0,0,no,southeast,6185.32
57,male,43.7,1,no,southwest,11576.13
32,female,33.2,3,no,northwest,6128.8
50,male,32.2,0,no,northwest,8835.26
61,female,36.4,1,yes,northeast,48517.56
35,female,35.9,2,no,southeast,5836.52
30,male,31.4,1,no,southwest,3659.35
44,male,30.7,2,no,southeast,7731.43
19,female,39.6,1,no,northwest,2730.11
37,male,30.8,0,no,southwest,4646.76
27,male,29.2,0,yes,southeast,18246.5
56,female,28.8,0,no,northeast,11658.38
35,male,17.9,1,no,northwest,5116.5
28,female,34.8,0,no,northwest,3556.92
24,female,33.3,0,no,northwest,2855.44
31,female,23.6,2,no,southwest,4931.65
50,female,27.6,1,yes,southwest,24520.26
32,male,28.9,1,yes,southeast,19719.69
25,male,33.3,2,yes,southeast,36124.57
52,male,33.3,0,no,northeast,9722.77
25,female,34.0,1,no,southeast,3227.12
18,male,21.5,0,no,northeast,1702.46
26,female,28.8,0,no,northeast,3385.4
36,female,26.2,0,no,southwest,4883.87
56,male,31.8,2,yes,southeast,43813.87
31,male,25.9,1,no,northwest,4239.89
48,female,25.9,3,yes,southeast,24180.93
37,female,30.8,2,no,southeast,6313.76
59,female,27.5,0,no,southwest,12233.83
28,female,28.9,1,no,northeast,4337.74
31,male,34.4,3,yes,northwest,38746.36
57,female,29.8,0,yes,southeast,27533.91
34,male,27.0,2,no,southwest,11737.85
22,female,23.2,0,no,northeast,2731.91
33,male,33.4,5,no,southeast,6653.79
34,male,42.1,2,no,southeast,5124.19
35,male,34.8,2,no,northwest,5729.01
47,female,45.3,1,no,southeast,8569.86
41,male,21.8,1,no,southeast,6272.48
51,female,25.8,1,no,southwest,9861.03
24,male,31.1,0,yes,northeast,34254.05
62,female,33.2,0,no,southwest,13462.52
24,female,25.3,0,no,northeast,3044.21
61,male,36.3,1,yes,southwest,47403.88
42,male,31.3,0,no,northwest,6358.78
27,male,33.2,2,no,northwest,4058.71
36,female,26.9,0,no,northwest,5267.82
23,female,28.5,1,yes,southeast,18328.24
64,female,23.0,0,yes,southeast,27037.91
41,male,33.6,0,no,southeast,5699.84
18,female,20.8,0,no,southeast,1607.51
52,male,26.4,3,no,southeast,25992.82
56,male,33.7,0,no,northwest,10976.25
57,female,22.2,0,no,northeast,12029.29
34,male,22.4,2,no,northeast,27375.9
45,female,31.8,0,no,southeast,17929.3
53,female,33.3,0,no,northeast,10564.88
53,male,28.9,0,no,northwest,9869.81
28,female,24.3,1,no,northeast,23288.93
50,female,27.1,1,no,northeast,10106.13
60,male,33.1,3,no,southeast,13919.82
58,male,35.7,0,no,southwest,11362.76
46,male,33.3,1,no,northeast,8334.46
18,female,30.1,0,no,northeast,21344.85
18,male,27.4,1,yes,northeast,17178.68
22,female,30.4,0,no,northeast,2741.95
29,male,31.7,2,no,northwest,4433.39
47,female,32.0,1,no,southwest,8551.35
37,female,38.4,0,yes,southeast,40419.02
47,male,32.3,1,no,southwest,8062.76
48,female,27.9,4,no,northwest,11015.17
37,female,34.1,1,no,northwest,6112.35
19,female,24.7,0,no,southwest,1737.38
35,male,24.1,1,no,northwest,5125.22
18,male,34.1,0,no,southeast,1137.01
64,female,39.1,3,no,southeast,16085.13
38,male,38.4,3,yes,southeast,41949.24
34,male,21.4,0,no,northeast,4500.34
49,female,27.2,0,no,southeast,8601.33
52,male,24.3,3,yes,northeast,24869.84
49,female,41.5,4,no,southeast,10977.21
59,female,23.7,0,yes,northwest,25678.78
22,female,21.3,3,no,northwest,4296.27
28,male,31.7,0,yes,southeast,34672.15
52,female,25.3,2,yes,southeast,24667.42
30,male,25.5,0,no,northeast,3645.09
62,female,26.3,0,yes,southeast,27808.73
29,male,38.9,1,no,southeast,3471.41
47,female,36.0,1,no,southwest,8556.91
19,male,22.6,0,no,northwest,1628.47
20,male,40.5,0,no,northeast,1984.45
35,female,34.1,3,yes,northwest,39983.43
50,female,46.1,1,no,southeast,9549.57
36,male,34.4,0,yes,southeast,37742.58
22,female,27.1,0,no,southwest,2154.36
50,male,32.3,1,yes,northeast,41919.1
35,male,24.4,3,yes,southeast,19362.0
59,female,27.8,3,no,southeast,14001.29
43,female,25.3,1,yes,northeast,21771.34
39,male,26.4,0,yes,northeast,20149.32
43,male,38.1,2,yes,southeast,42560.43
54,female,27.6,1,no,northwest,11305.93
49,female,30.8,1,no,northeast,9778.35
44,female,24.0,2,no,southeast,8211.1
50,female,23.5,2,no,southeast,10107.22
29,female,21.8,1,yes,northeast,16657.72
20,female,29.0,0,no,northwest,2257.48
38,male,21.1,3,no,southeast,6652.53
34,female,37.3,2,no,northwest,5989.52
24,female,23.2,0,no,southeast,25081.77
51,female,20.6,0,no,southwest,9264.8
38,male,29.3,2,no,northwest,6457.84
61,male,28.3,1,yes,northwest,28868.66
54,female,31.9,1,no,southeast,10928.85
54,female,28.9,2,no,northeast,12096.65
21,female,17.4,1,no,southwest,2585.27
18,female,40.3,0,no,southeast,1634.57
59,female,31.4,0,no,northwest,12622.18
43,female,46.2,0,yes,southeast,45863.21
38,male,34.7,2,no,southwest,6082.41
52,male,38.6,2,no,southwest,10325.21
30,female,30.9,3,no,southwest,5325.65
61,male,33.5,0,no,northeast,13143.34
20,female,31.5,0,no,southeast,1877.93
26,female,22.6,0,no,northwest,3176.82
50,female,44.7,0,no,northeast,9541.7
53,female,26.7,2,no,southwest,11150.78
30,female,33.3,1,no,southeast,4151.03
44,male,37.1,2,no,southwest,7740.34
22,male,37.6,1,yes,southeast,37165.16
45,male,30.5,2,no,northwest,8413.46
23,male,34.4,0,no,southwest,1826.84
31,male,39.5,1,no,southeast,3875.73
30,male,37.4,3,no,northeast,5428.73
50,male,26.6,0,no,southwest,8444.47
42,male,28.3,3,yes,northwest,32787.46
18,female,21.7,0,yes,northeast,14283.46
39,female,31.9,2,no,northwest,7209.49
40,female,41.4,1,no,northwest,28476.73
45,male,21.4,0,no,northwest,7222.79
21,male,25.7,2,no,northeast,3279.87
23,male,37.1,3,no,southwest,3597.6
42,male,35.8,2,no,southwest,7160.09
42,male,36.0,2,no,southeast,7160.33
32,male,28.9,0,no,northwest,3866.86
19,male,25.2,0,no,northwest,1632.04
22,male,28.9,0,no,northeast,2250.84
44,female,26.4,0,no,northwest,7419.48
45,male,24.0,2,no,northeast,8604.48
40,male,41.2,1,no,northeast,6610.11
27,female,31.3,1,no,northwest,3956.07
19,female,28.9,0,yes,northwest,17748.51
19,male,34.8,0,yes,southwest,34779.62
33,female,24.3,0,no,southeast,4185.1
61,male,38.4,0,no,northwest,12950.07
20,male,30.7,0,yes,northeast,33475.82
34,male,30.8,0,yes,southwest,35491.64
55,male,33.0,0,no,southeast,20781.49
22,female,31.0,3,yes,southeast,35595.59
23,male,27.4,1,no,northwest,2789.06
18,male,38.2,0,yes,southeast,36307.8
54,male,25.5,1,no,northeast,25517.11
28,male,23.8,2,no,southwest,3847.67
46,female,33.4,1,no,southeast,8240.59
49,male,30.9,0,yes,southwest,39727.61
38,female,30.2,3,no,northwest,7537.16
26,female,29.6,4,no,northeast,24671.66
26,male,27.1,0,yes,southeast,17043.34
62,female,32.7,0,no,northwest,13844.8
34,female,33.7,1,no,southwest,5012.47
33,male,24.6,2,no,northwest,5257.51
47,female,23.6,1,no,southwest,8539.67
49,male,29.8,1,no,northeast,9288.03
49,female,29.9,0,no,northwest,8988.16
60,male,32.8,0,yes,southwest,52590.83
59,female,26.5,0,no,northeast,12815.44
52,male,34.1,0,no,southeast,9140.95
29,male,34.4,0,yes,southwest,36197.7
23,female,28.0,0,no,southwest,13126.68
18,female,38.7,2,no,northeast,3393.36
53,female,36.9,3,yes,northwest,46661.44
40,female,23.4,3,no,northeast,8252.28
63,female,23.1,0,no,northeast,14451.84
48,female,27.3,1,no,northeast,9447.25
35,female,28.0,0,yes,northwest,20234.85
27,female,31.4,0,yes,southwest,34838.87
63,female,31.8,0,no,southwest,13880.95
49,male,25.8,2,yes,northwest,23807.24
37,female,29.5,2,no,southwest,6311.95
41,male,29.6,5,no,northeast,9222.4
25,female,30.3,0,no,southwest,2632.99
29,female,25.6,4,no,southwest,5708.87
28,male,24.3,5,no,southwest,5615.37
39,female,32.8,0,no,southwest,5649.72
47,female,36.6,1,yes,southeast,42969.85
18,male,25.2,0,yes,northeast,15518.18
21,female,16.8,1,no,northeast,3167.46
18,female,31.1,0,no,southeast,1621.88
27,female,24.1,0,no,southwest,2974.13
36,female,19.9,0,no,northeast,5458.05
57,male,18.3,0,no,northeast,11534.87
55,female,40.8,3,no,southeast,12485.8
45,male,39.8,0,no,northeast,7448.4
54,male,39.6,1,no,southwest,10450.55
39,female,26.3,2,no,northwest,7201.7
46,female,27.7,0,no,northwest,8026.67
62,male,38.8,0,no,southeast,12981.35
53,female,37.4,1,no,northwest,10959.69
28,female,17.3,0,no,northeast,3732.63
56,female,25.7,0,no,northwest,11454.02
47,female,24.1,1,no,southwest,26236.58
41,female,37.1,2,no,southwest,7371.77
49,female,21.3,1,no,southwest,9182.17
19,male,33.1,0,no,southwest,23082.96
43,male,27.8,0,yes,southwest,37829.72
36,male,28.6,3,no,northwest,6548.2
41,male,23.9,1,no,northeast,6858.48
36,male,34.4,2,no,southeast,5584.31
50,male,31.0,3,no,northwest,10600.55
51,female,36.4,3,no,northwest,11436.74
25,female,32.2,1,no,southeast,18218.16
39,female,24.9,3,yes,northeast,21659.93
32,female,23.7,1,no,southeast,17626.24
18,female,33.2,0,no,northeast,2207.7
38,female,40.2,0,no,southeast,5400.98
19,male,34.9,0,yes,southwest,34828.65
47,female,29.4,1,no,southeast,8547.69
22,female,36.0,0,no,southwest,2166.73
29,female,26.0,0,no,northwest,3736.46
26,female,40.2,0,no,northwest,3201.25
51,male,36.0,1,no,southeast,9386.16
18,female,36.9,0,yes,southeast,36149.48
44,male,34.3,1,no,southeast,7147.47
47,male,36.2,1,no,southwest,8068.19
19,male,26.0,1,yes,northwest,16450.89
28,male,30.9,0,no,northwest,3062.51
54,female,35.8,3,no,northwest,12495.29
60,male,31.4,3,yes,northwest,46130.53
44,female,43.9,2,yes,southeast,46200.99
38,male,31.0,1,no,southwest,5488.26
19,male,34.4,0,no,southwest,1261.86
19,female,32.9,0,no,southwest,1748.77
18,male,39.1,0,no,northeast,12890.06
55,male,29.0,0,no,northeast,10796.35
35,female,23.5,2,no,northeast,6402.29
36,male,33.8,1,no,northwest,5377.46
40,female,28.1,1,yes,northeast,22331.57
19,male,21.8,0,no,northwest,1627.28
26,male,31.1,0,no,northwest,2699.57
52,female,37.4,0,no,southwest,9634.54
23,female,39.3,2,no,southeast,3500.61
62,female,29.9,0,no,southeast,13457.96
43,female,29.9,1,no,southwest,7337.75
46,male,30.5,3,yes,northwest,40720.55
19,male,28.7,0,no,southwest,1253.94
38,female,27.3,1,no,northeast,6555.07
63,male,35.1,0,yes,southeast,47055.53
45,male,30.4,0,yes,southeast,62592.87
19,male,27.6,0,no,southwest,1252.41
39,male,24.5,2,no,northwest,6710.19
59,male,26.4,0,no,southeast,11743.3
59,male,29.7,2,no,southeast,12925.89
24,male,28.5,2,no,northwest,3537.7
42,female,40.4,2,yes,southeast,43896.38
44,male,30.2,2,yes,southwest,38998.55
61,male,35.9,0,yes,southeast,46599.11
27,male,30.3,3,no,southwest,4260.74
60,female,36.0,0,no,northeast,13228.85
32,female,31.5,1,no,northeast,5148.55
60,female,28.7,1,no,southwest,13224.69
63,male,41.3,3,no,northwest,15555.19
18,male,21.8,2,no,southeast,11884.05
49,male,36.9,0,no,southeast,8125.78
24,male,35.9,0,no,southeast,1986.93
62,female,33.0,3,no,northwest,15612.19
49,male,37.5,2,no,southeast,9304.7
56,male,22.1,0,no,southwest,10577.09
51,female,38.1,0,yes,southeast,44400.41
52,male,36.8,2,no,northwest,26467.1
62,male,37.4,0,no,southwest,12979.36
63,male,41.5,0,no,southeast,13405.39
28,female,27.5,2,no,southwest,20177.67
61,male,36.1,3,no,southwest,27941.29
58,female,41.9,0,no,southeast,24227.34
31,female,25.7,0,no,southeast,3756.62
25,male,45.5,2,yes,southeast,42112.24
40,male,19.8,1,yes,southeast,17179.52
35,female,27.7,3,no,southwest,6414.18
26,male,20.8,0,no,southwest,2302.3
45,female,35.3,0,no,southwest,7348.14
39,male,34.1,2,no,southeast,23563.02
30,female,21.9,1,no,northeast,4718.2
19,male,27.8,0,no,northwest,1635.73
31,male,31.1,3,no,northwest,5425.02
51,male,33.3,3,no,southeast,10560.49
35,male,27.6,1,no,southeast,4747.05
64,male,23.8,0,yes,southeast,26926.51
63,male,33.7,3,no,southeast,15161.53
43,male,25.5,5,no,southeast,14478.33
55,male,30.7,0,yes,northeast,42303.69
21,male,27.4,0,no,northeast,2104.11
42,female,26.6,0,yes,northwest,21348.71
36,male,28.0,1,yes,northeast,20773.63
23,male,31.7,3,yes,northeast,36189.1
30,female,28.4,1,no,northwest,4527.18
58,female,27.2,0,no,northwest,12222.9
18,male,23.1,0,no,northeast,1704.7
61,female,39.1,2,no,southwest,14235.07
43,female,35.7,2,no,northeast,19144.58
22,male,20.0,3,no,northeast,4005.42
45,female,27.6,1,no,northwest,28340.19
47,female,33.3,0,no,northeast,20878.78
53,female,28.1,3,no,southwest,11741.73
37,female,30.8,0,yes,northeast,37270.15
33,male,42.5,1,no,southeast,11326.71
25,female,30.2,0,yes,southwest,33900.65
60,male,24.3,0,no,northwest,12523.6
28,female,25.8,0,no,southwest,3161.45
55,male,37.3,0,no,southwest,20630.28
29,female,29.6,1,no,southeast,3947.41
21,male,25.7,4,yes,southwest,17942.11
53,male,20.9,0,yes,southeast,21195.82
40,male,29.4,1,no,northwest,6393.6
33,female,19.1,2,yes,northeast,16776.3
31,male,25.9,3,yes,southwest,19199.94
60,male,29.6,0,no,northeast,12731.0
48,male,32.3,1,no,northwest,8765.25
61,female,35.9,0,no,northeast,13635.64
59,female,27.7,3,no,southeast,14001.13
55,male,29.9,0,no,southwest,10214.64
52,female,46.8,5,no,southeast,12592.53
56,male,39.6,0,no,southwest,10601.41
57,male,29.0,0,yes,northeast,27218.44
32,male,30.8,3,no,southwest,5253.52
18,male,30.0,1,no,southeast,1720.35
47,female,29.5,1,no,northwest,8930.93
44,female,25.0,1,no,southwest,7623.52
33,female,28.3,1,no,southeast,4779.6
34,male,34.7,0,no,northeast,4518.83
57,male,40.9,0,no,northeast,11566.3
60,female,25.8,0,no,northwest,28923.14
39,male,29.6,4,no,southwest,7512.27
56,female,37.5,2,no,southeast,12265.51
55,female,32.8,2,no,northwest,12268.63
32,female,24.6,0,yes,southwest,17496.31
23,female,42.8,1,yes,northeast,40904.2
20,male,33.0,1,no,southwest,1980.07
29,female,21.9,0,yes,northeast,16115.3
44,female,39.0,0,yes,northwest,42983.46
44,female,29.8,2,no,southeast,8219.2
29,male,33.3,2,no,northwest,19442.35
22,male,39.5,0,no,southwest,1682.6
18,male,35.2,1,no,southeast,1727.54
61,female,44.0,0,no,southwest,13063.88
23,female,31.4,0,yes,southwest,34166.27
25,male,27.6,0,no,northwest,2523.17
64,male,37.0,2,yes,southeast,49577.66
